acc_t,acc_x,acc_y,acc_z,gyr_t,yaw,roll,pitch,gyr_x,gyr_y,gyr_z,acc_x_2,acc_y_2,acc_z_2,quat_x,quat_y,quat_z,quat_w
15728.10119541667,-0.994537353515625,-0.014190673828125,0.0332489013671875,15728.09125541667,-0.0611640507913473,-1.601078308038126,0.0158072415244356,-0.0196471903473138,-0.0126363923773169,0.1734981685876846,0.0040553212165832,0.0120071172714233,0.0066220797598361,-0.0164447607716305,-0.7175418848347866,-0.0269608534429112,0.6957991139894129
15728.11113541667,-0.9944915771484376,-0.013275146484375,0.0309906005859375,15728.10119541667,-0.0614270182213181,-1.601662089281264,0.014597164411859,-0.0237908028066158,-0.0248946566134691,0.166778489947319,0.010556161403656,0.000695863738656,0.0044207572937011,-0.0169680658728654,-0.7177331486902809,-0.0266134482766926,0.6956026162597603
15728.12107641667,-0.9976959228515624,0.0071868896484375,0.02685546875,15728.11113541667,-0.0616485117415067,-1.602220440550156,0.0132744102411549,-0.0088193099945783,-0.0313778892159462,0.1540337800979614,0.0048809051513671,-0.0009166803210973,0.001832727342844,-0.0175151341094417,-0.7179145549007527,-0.0262111054077148,0.6954171059981631
15728.13101641667,-1.002273559570312,-0.0092315673828125,0.0328521728515625,15728.12107641667,-0.0617135039285,-1.602914756214752,0.01246065773888,-0.0051193805411458,-0.0475091896951198,0.0950421094894409,0.0049150586128234,-0.0008148364722728,-0.00111985206604,-0.0178305376630786,-0.7181485069691554,-0.0259355274662358,0.6951777293149974
15728.14095641667,-0.998077392578125,-0.0102081298828125,0.032562255859375,15728.13101641667,-0.0617963933504366,-1.603550724484194,0.0116260296388046,-0.0061670681461691,-0.0648878067731857,0.1057143285870552,0.0017001628875732,0.0188126340508461,-0.0058909729123115,-0.0181586848143904,-0.7183616240408373,-0.0256589828156579,0.6949591794596237
15728.15089741667,-0.997528076171875,-0.0118560791015625,0.02691650390625,15728.14095641667,-0.0619372570251568,-1.604286397422988,0.0108290323139876,-0.0154987834393978,-0.0624779164791107,0.1218200698494911,-0.0028928518295288,0.0015972293913364,-0.0006296709179878,-0.0184956709544769,-0.7186089554202579,-0.025414960320609,0.6947035220788124
15728.16083741667,-0.98974609375,-0.0115203857421875,0.02886962890625,15728.15089741667,-0.0621387711123786,-1.605116225143508,0.0099404660011968,-0.0192911252379417,-0.0682412609457969,0.1422366499900818,0.0012843608856201,-0.0002678520977497,-0.0017491616308689,-0.0188872632596114,-0.718887336763393,-0.025157958064239,0.6944143332864965
15728.17077741667,-0.9943084716796876,0.003204345703125,0.0300140380859375,15728.16083741667,-0.0624018573190229,-1.605935559668472,0.008626779090425,-0.0237370058894157,-0.0662873014807701,0.1499345153570175,0.0018174052238464,-0.0032294308766722,-0.0082142390310764,-0.0194482397361148,-0.7191572224725349,-0.0247692794947459,0.6941332677508474
15728.18071841667,-1.009689331054688,0.02484130859375,0.026519775390625,15728.17077741667,-0.0626250642358433,-1.606671645639319,0.0072744958926665,-0.0114513114094734,-0.0754819363355636,0.0791676789522171,0.0095840096473693,-0.0042459783144295,-0.0069969929754734,-0.0200069215873903,-0.7193977050873006,-0.0243532557178236,0.6938828818436812
15728.19065841667,-0.9952239990234376,-0.0125885009765625,0.0326995849609375,15728.18071841667,-0.0628391855248785,-1.607324972274462,0.0073981844528039,-0.0362962074577808,-0.0546293854713439,-0.0578295923769474,0.0049970746040344,0.0106024388223886,-0.006505612283945,-0.0200490111856699,-0.719623370926056,-0.0244654758338349,0.693643670472776
